"Guid","AnnualRevenue","City","Company","Country","Description","Email","EmailBouncedReason","FirstName","GeocodeAccuracy","Industry","IsConverted","IsUnreadByOwner","Jigsaw","LastName","Latitude","LeadSource","Longitude","NumberOfEmployees","Phone","PostalCode","Rating","Salutation","State","Status","Street","Title","Website"
27c3a9e1-cf04-4215-8dc6-1f3945c5678c,"#N/A","#N/A",123,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,false,"#N/A",123,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",New,"#N/A","#N/A","#N/A"
2bc6a351-393b-4767-8467-925081a6f771,"#N/A","#N/A",wee,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,false,"#N/A",wee,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",New,"#N/A","#N/A","#N/A"
2ee793b1-e8ba-42ad-a76d-7df36ce80e7c,16867.0,Marlborough,3C Systems,United States,"#N/A",info@salesforce.com,"#N/A",John,"#N/A",Aerospace & Defense,false,true,"#N/A",Gardner,"#N/A",Other,"#N/A",87200,(555) 555-1212,1752,"#N/A",Mr.,Massachusetts,New,1 Boston Rd,Exec VP,"#N/A"
45d241c1-2b90-4709-8200-4dad060295a4,"#N/A","#N/A",any,"#N/A","#N/A","#N/A","#N/A",New,"#N/A","#N/A",false,false,"#N/A",11.21,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Mr.,"#N/A",New,"#N/A","#N/A","#N/A"
4d7a66ff-53f7-45bc-ac3a-0c1c6fa0f951,19879.0,Hartford,BigLife Inc.,United States,"#N/A",info@salesforce.com,"#N/A",Jim,"#N/A",Insurance,false,true,"#N/A",Steele,"#N/A",Employee Referral,"#N/A",28000,(555) 555-1212,6156,"#N/A","#N/A",Connecticut,New,11 Farm Avenue,Senior VP,"#N/A"
54984d4a-8879-483b-8e5e-10ebb56dae4f,"#N/A","#N/A",bleh,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,false,"#N/A",bleh,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",New,"#N/A","#N/A","#N/A"
5626a316-c032-43a1-9c78-150668611f48,"#N/A","#N/A",atata,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,false,"#N/A",tata,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",New,"#N/A",atta,"#N/A"
57bb7f78-bb7f-4850-a0d9-1ab748ca4b58,"#N/A","#N/A",Any,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,true,"#N/A",anyLead,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Mr.,"#N/A",Contacted,"#N/A","#N/A","#N/A"
624675b1-25ee-4ba8-83e2-33bc364c138c,33147.0,New York,"MedLife, Inc.",United States,"#N/A",info@salesforce.com,"#N/A",Sarah,"#N/A",Insurance,false,true,"#N/A",Loehr,"#N/A",Employee Referral,"#N/A",48500,(555) 555-1212,10010,"#N/A","#N/A",New York,Contacted,One Jones Avenue,System Administrator,"#N/A"
68d2ce52-eca7-4dd6-98b5-e1bd0b9965ba,"#N/A","#N/A",mememee,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,false,"#N/A",mememe,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",New,"#N/A","#N/A","#N/A"
97584f3e-4a12-4524-92e0-a37ab26061a2,28212.0,Hartford,Universal Technologies,United States,"#N/A",info@salesforce.com,"#N/A",Andy,"#N/A",Aerospace & Defense,false,true,"#N/A",Smith,"#N/A",Advertisement,"#N/A",155000,(555) 555-1212,6103,"#N/A",Mr.,Connecticut,New,Universal Building,Vice President,"#N/A"
a80ed191-192f-41cd-b093-956d22843a53,"#N/A","#N/A",456,"#N/A","#N/A","#N/A","#N/A",456,"#N/A","#N/A",false,false,"#N/A",456,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",New,"#N/A","#N/A","#N/A"
ddb9f602-52ed-4742-bbe7-c08c616dd4d5,"#N/A","#N/A",eeeeeeeeehe,"#N/A","#N/A","#N/A","#N/A",ehehee,"#N/A","#N/A",false,false,"#N/A",eheheee,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",New,"#N/A","#N/A","#N/A"
e3a10fa1-15e0-4ca4-9e15-be766bbfd8a8,"#N/A","#N/A",Test,"#N/A","#N/A","#N/A","#N/A",Lead,"#N/A","#N/A",false,false,"#N/A",1,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Mr.,"#N/A",Contacted,"#N/A","#N/A","#N/A"
f5ab38cf-e97e-4965-865f-d68210e8d341,"#N/A","#N/A",Any,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,false,"#N/A",anyLead,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Mr.,"#N/A",Contacted,"#N/A","#N/A","#N/A"
